Statistical profiling result from v8.log, (13997 ticks, 10660 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
  10660   76.2%

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~getInitialState /Volumes/Projects/react-perf/chat-optimized/components/MessageSection.jsx:41
      1    0.0%    0.0%  LazyCompile: ~getComponent /Volumes/Projects/react-perf/node_modules/fluxible/lib/Fluxible.js:138
      1    0.0%    0.0%  LazyCompile: ~getAllChrono /Volumes/Projects/react-perf/chat-optimized/stores/ThreadStore.js:29
      1    0.0%    0.0%  LazyCompile: ~get /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1    0.0%    0.0%  LazyCompile: ~exports.version /Volumes/Projects/react-perf/node_modules/babel/node_modules/acorn-babel/acorn_csp.js:24
      1    0.0%    0.0%  LazyCompile: ~destructor /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1    0.0%    0.0%  LazyCompile: ~createReactRootIndex /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1    0.0%    0.0%  LazyCompile: ~createMarkupForID /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1    0.0%    0.0%  LazyCompile: ~adler32 /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1    0.0%    0.0%  LazyCompile: ~_renderValidatedComponentWithoutOwnerOrContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1    0.0%    0.0%  LazyCompile: ~TwoDigitString native date.js:213
      1    0.0%    0.0%  LazyCompile: ~ReactServerRenderingTransaction /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1    0.0%    0.0%  LazyCompile: ~React.createClass._getHrefFromProps /Volumes/Projects/react-perf/node_modules/flux-router-component/lib/NavLink.js:45
      1    0.0%    0.0%  LazyCompile: ~QuickSort native array.js:793
      1    0.0%    0.0%  LazyCompile: ~FluxibleMixin.getStore /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleMixin.js:98
      1    0.0%    0.0%  LazyCompile: *random native math.js:192
      1    0.0%    0.0%  LazyCompile: *getState /Volumes/Projects/react-perf/chat-optimized/stores/ApplicationStore.js:20
      1    0.0%    0.0%  LazyCompile: *getCurrentID /Volumes/Projects/react-perf/chat-optimized/stores/ThreadStore.js:48
      1    0.0%    0.0%  LazyCompile: *getCurrent /Volumes/Projects/react-perf/chat-optimized/stores/ThreadStore.js:54
      1    0.0%    0.0%  LazyCompile: *getComponentContext /Volumes/Projects/react-perf/node_modules/fluxible/lib/FluxibleContext.js:148
      1    0.0%    0.0%  LazyCompile: *getComponent /Volumes/Projects/react-perf/node_modules/fluxible/lib/Fluxible.js:138
      1    0.0%    0.0%  LazyCompile: *createInstanceForText /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      1    0.0%    0.0%  LazyCompile: *IsPrimitive native runtime.js:618
      1    0.0%    0.0%  KeyedStoreMegamorphicIC: args_count: 0 {6}
      1    0.0%    0.0%  KeyedStoreIC: args_count: 0 {7}
      1    0.0%    0.0%  KeyedStoreIC: args_count: 0 {2}
      1    0.0%    0.0%  KeyedStoreIC: args_count: 0
      1    0.0%    0.0%  KeyedLoadIC: args_count: 0 {5}
      1    0.0%    0.0%  KeyedLoadIC: args_count: 0 {3}

 [C++]:
   ticks  total  nonlib   name

 [GC]:
   ticks  total  nonlib   name
    101    0.7%

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 2.0% are not shown.

   ticks parent  name
   3034   21.7%  LazyCompile: *flattenSingleChildIntoContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
   3030   99.9%    LazyCompile: *traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
   2457   81.1%      LazyCompile: *traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
   2457  100.0%        LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
   2457  100.0%          LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
   2457  100.0%            LazyCompile: instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    573   18.9%      LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    573  100.0%        LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    573  100.0%          LazyCompile: instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    573  100.0%            LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1

    697    5.0%  LazyCompile: ~flattenSingleChildIntoContext /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    609   87.4%    LazyCompile: *traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    508   83.4%      LazyCompile: *traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    508  100.0%        LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    508  100.0%          LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    507   99.8%            LazyCompile: instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    101   16.6%      LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    101  100.0%        LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    100   99.0%          LazyCompile: instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
    100  100.0%            LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     88   12.6%    LazyCompile: ~traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     79   89.8%      LazyCompile: ~traverseAllChildrenImpl /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     63   79.7%        LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     63  100.0%          LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     63  100.0%            LazyCompile: ~instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
     16   20.3%        LazyCompile: ~traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      9   56.3%          LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      9  100.0%            LazyCompile: ~instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      7   43.8%          LazyCompile: ~flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      7  100.0%            LazyCompile: ~instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      9   10.2%      LazyCompile: *traverseAllChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      9  100.0%        LazyCompile: *flattenChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      9  100.0%          LazyCompile: ~instantiateChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
      5   55.6%            LazyCompile: mountChildren /Volumes/Projects/react-perf/react/react-with-addons-opt.js:1
