Statistical profiling result from v8.log, (14146 ticks, 10645 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
  10645   75.3%

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  KeyedLoadIC: args_count: 0 {8}
      1    0.0%    0.0%  KeyedLoadIC: args_count: 0 {7}
      1    0.0%    0.0%  KeyedLoadIC: args_count: 0 {6}
      1    0.0%    0.0%  KeyedLoadIC: args_count: 0 {1}

 [C++]:
   ticks  total  nonlib   name

 [GC]:
   ticks  total  nonlib   name
    310    2.2%

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 2.0% are not shown.

   ticks parent  name
   2074   14.7%  LazyCompile: bind native v8natives.js:1578
   1780   85.8%    LazyCompile: *bindAutoBindMethod /Volumes/Projects/react-perf/react/react-with-addons.js:1
   1676   94.2%      LazyCompile: bindAutoBindMethods /Volumes/Projects/react-perf/react/react-with-addons.js:1
   1672   99.8%        LazyCompile: *<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
   1672  100.0%          LazyCompile: *Constructor /Volumes/Projects/react-perf/react/react-with-addons.js:1
   1672  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    104    5.8%      LazyCompile: ~bindAutoBindMethods /Volumes/Projects/react-perf/react/react-with-addons.js:1
     72   69.2%        LazyCompile: *<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
     61   84.7%          LazyCompile: *Constructor /Volumes/Projects/react-perf/react/react-with-addons.js:1
     61  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     11   15.3%          LazyCompile: ~Constructor /Volumes/Projects/react-perf/react/react-with-addons.js:1
     11  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     32   30.8%        LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
     18   56.3%          LazyCompile: ~Constructor /Volumes/Projects/react-perf/react/react-with-addons.js:1
     18  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     14   43.8%          LazyCompile: *Constructor /Volumes/Projects/react-perf/react/react-with-addons.js:1
     14  100.0%            LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    240   11.6%    LazyCompile: *bindAutoBindMethod /Volumes/Projects/node_modules/react/lib/ReactClass.js:650
    203   84.6%      LazyCompile: bindAutoBindMethods /Volumes/Projects/node_modules/react/lib/ReactClass.js:696
    203  100.0%        LazyCompile: *Constructor /Volumes/Projects/node_modules/react/lib/ReactClass.js:829
    203  100.0%          LazyCompile: mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
    178   87.7%            LazyCompile: *mountComponent /Volumes/Projects/react-perf/react/react-with-addons.js:1
     25   12.3%            LazyCompile: ~<anonymous> /Volumes/Projects/react-perf/react/react-with-addons.js:1
     37   15.4%      LazyCompile: ~bindAutoBindMethods /Volumes/Projects/node_modules/react/lib/ReactClass.js:696
     32   86.5%        LazyCompile: *Constructor /Volumes/Projects/node_modules/react/lib/ReactClass.js:829
